State,Governor,Party,State Senate Democrats,State Senate Republicans,State Senate Majority,State Senate Majority %,State House Democrats,State House Republicans,State House Majority,State House Majority %,Party Control,Median Income,State GDP (2022) (in millions),Gini Coefficient 2019,Gini Coefficient 2015-2019,Population (2022),Life Expectancy 2019,Life Expectancy 2019 Male,Life Expectancy 2019 Female,Sick Leave Policy,"Number of Doctors per 100,000 resident population",Total Education Funding (in thousands),Population over the age of 25,With a High School Diploma or higher,With a Bachelor's Degree or higher,With an Advanced Degree,Number in Poverty,Poverty Rate (%),Incarcerated Total,Incarceration Rate,Total Violent Crimes (2020),"Total Violent Crimes Occurred per 100,000",Max AQI,90th Percentile AQI,Median AQI,% Good Days,% Moderate Days,% Unhealthy for Sensitive Groups Days,% Unhealthy Days,% Very Unhealthy Days,% Hazardous Days,ACS vintage (suggested metrics),Uninsured population ACS (count),Uninsured rate ACS (% of pop in B27001 universe),Rent burden 30%+ ACS (% renter HH),Rent burden 50%+ ACS (% renter HH),Child poverty rate ACS (% under 18),SNAP household rate ACS (% HH),Broadband household rate ACS (% HH),No internet access ACS (% HH),Medicaid expansion adopted (Y/N)
Rhode_Island,Dan McKee,Democrat,33,5,Democrat,87%,65,9,Democrat,88%,Democrat,87796,"71,402",0.4610,0.4610,1101801,78.5,75.9,81.0,"Companies with more than 18 employees must provide up to 40 hours of paid sick leave to full-time, part-time, and temporary employees. Workers earn one hour off for every 34 hours worked, which can be used after 90 days for full-time employees, 180 days for part-time employees, and 150 days for seasonal employees.[8]",407.47,"$2,767,851","783,801","703,088","295,838","120,481",118364,11.16,"3,428",0.31%,1692,153.6,128.333333,52.6666667,39,88.09%,9.39%,2.53%,0.00%,0.00%,0.00%,2024 ACS 5-year,47764,4.40,45.39,22.51,13.69,14.03,91.74,6.39,Y
South_Carolina,Henry McMaster,Republican,15,30,Republican,67%,36,88,Republican,71%,Republican,69324,"295,880",0.4755,0.4755,5296225,73.5,70.4,76.7,South Carolina does not require paid sick leave and preempts local government from requiring it.[8][9],234.15,"$11,358,062","3,677,078","3,313,276","1,181,414","453,407",725690,14.07,"20,351",0.38%,23129,436.7,105.428571,60.5714286,41.3571429,76.79%,22.69%,0.52%,0.00%,0.00%,0.00%,2024 ACS 5-year,500927,9.64,46.34,23.37,19.42,10.51,88.80,8.32,N
South_Dakota,Kristi Noem,Republican,4,30,Republican,88%,7,62,Republican,90%,Republican,75081,"67,571",0.4493,0.4493,907428,76.6,74.1,79.3,South Dakota does not require paid sick leave.[8],241.5,"$1,916,182","603,746","562,448","192,610","60,428",104798,11.93,"3,755",0.41%,3288,362.3,159.9,69.6,37.9,77.73%,18.84%,2.83%,0.55%,0.06%,0.00%,2024 ACS 5-year,79933,9.01,36.42,16.19,14.35,7.88,89.63,7.44,Y
Tennessee,Bill Lee,Republican,6,27,Republican,82%,24,75,Republican,76%,Republican,69595,"475,755",0.4761,0.4761,7066383,72.4,69.4,75.5,Tennessee does not require paid sick leave and preempts local government from requiring it.[8][9],263.69,"$12,088,718","4,870,330","4,385,619","1,512,601","570,062",950340,13.76,"42,619",0.60%,41854,592.3,108.695652,62.5217391,38.7391304,76.47%,22.40%,1.13%,0.00%,0.00%,0.00%,2024 ACS 5-year,699452,10.03,44.34,21.19,18.81,10.85,89.20,8.21,N
Texas,Greg Abbott,Republican,12,19,Republican,61%,64,86,Republican,57%,Republican,78476,"2,355,960",0.4782,0.4782,30188424,75.4,72.7,78.3,Texas does not require paid sick leave and preempts local government from requiring it.[8][9],228.35,"$69,504,604","19,717,474","16,951,277","6,669,107","2,432,960",4074940,13.79,"213,983",0.71%,117554,389.4,114.795455,62.7727273,38.8863636,73.76%,24.86%,1.27%,0.09%,0.02%,0.00%,2024 ACS 5-year,5085788,17.13,48.48,23.63,18.66,11.36,91.35,6.25,N
Utah,Spencer Cox,Republican,6,23,Republican,79%,13,61,Republican,82%,Republican,95166,"248,176",0.4266,0.4266,3392331,78.2,76.3,80.2,Utah does not require paid sick leave.[8],226.04,"$6,543,845","2,054,893","1,918,440","774,301","267,721",283680,8.50,"7,271",0.21%,7789,229.6,124.571429,77,47.5714286,63.62%,33.14%,2.14%,0.99%,0.11%,0.00%,2024 ACS 5-year,283037,8.41,44.78,20.04,8.76,5.19,93.36,3.36,Y
Vermont,Phil Scott,Republican,22,7,Democrat,76%,104,37,Democrat,74%,Mixed,81203,"40,617",0.4531,0.4531,647106,78.4,75.7,81.2,"Employees who work over 18 hours per week, on average annually, are entitled to up to 40 hours of paid sick leave. Both full- and part-time employees are covered, but it does not apply to seasonal employees, per diem healthcare workers, federal workers, and some state workers. New businesses are exempt for 12 months after hiring their first employee. Employees earn one hour off for every 52 hours worked, which can be used one year after being hired.[8]",382.43,"$2,347,737","466,428","442,737","204,241","86,613",62749,10.05,"1,906",0.29%,1418,219.1,136,54.3333333,40,85.82%,12.71%,0.92%,0.55%,0.00%,0.00%,2024 ACS 5-year,25234,3.94,45.20,22.62,10.81,10.62,89.74,6.17,Y
Virginia,Glenn Youngkin,Republican,21,19,Democrat,53%,51,49,Democrat,51%,Mixed,93170,"649,393",0.4715,0.4715,8705170,76.8,74.2,79.4,Virginia does not require paid sick leave.[8],268.53,"$19,495,664","6,007,678","5,501,058","2,532,890","1,110,987",837363,9.89,"44,517",0.51%,18969,217.9,131.266667,52.3,34.6333333,85.95%,12.80%,0.77%,0.47%,0.00%,0.00%,2024 ACS 5-year,586299,6.92,45.30,22.46,12.33,9.14,91.01,6.71,Y
Washington,Jay Inslee,Democrat,29,20,Democrat,59%,58,40,Democrat,59%,Democrat,98141,"725,514",0.4691,0.4691,7816116,78.2,75.8,80.8,"Employees earn one hour of paid sick leave for every 40 hours worked. There's no maximum number of hours that can be accrued, but only 40 hours can be carried over into the next year. SeaTac, Seattle, and Tacoma have more expansive requirements.[8]",270.7,"$20,652,689","5,484,391","5,060,127","2,172,536","855,331",760577,9.90,"16,914",0.22%,25488,326.1,75.7586207,41.4827586,24.1034483,92.59%,7.32%,0.10%,0.00%,0.00%,0.00%,2024 ACS 5-year,488185,6.34,47.47,22.38,11.64,11.51,93.60,4.19,Y
West_Virginia,Jim Justice,Republican,3,31,Republican,91%,11,89,Republican,89%,Republican,59608,"95,588",0.4709,0.4709,1778373,71.0,68.1,74.2,West Virginia does not require paid sick leave.[8],261.02,"$3,893,773","1,266,322","1,131,078","305,596","122,753",287953,16.71,"9,377",0.53%,4425,248.8,151.692308,62.2307692,38.8461538,80.09%,18.57%,0.81%,0.54%,0.00%,0.00%,2024 ACS 5-year,104878,6.01,40.40,20.29,21.49,17.25,86.07,10.89,Y
Wisconsin,Tony Evers,Democrat,11,22,Republican,67%,35,64,Republican,65%,Mixed,77485,"401,792",0.4440,0.4440,5914872,77.8,75.2,80.5,Wisconsin does not require paid sick leave and preempts local government from requiring it.[8][9],266.39,"$13,845,975","4,099,973","3,835,965","1,368,736","467,143",610030,10.55,"34,018",0.58%,16473,278.5,174.655172,93.8275862,44.1034483,64.95%,27.09%,6.34%,1.50%,0.12%,0.00%,2024 ACS 5-year,306589,5.24,41.07,19.68,12.80,11.14,90.31,6.86,N
Wyoming,Mark Gordon,Republican,2,29,Republican,94%,5,57,Republican,92%,Republican,76176,"47,433",0.4539,0.4539,582397,75.0,72.5,77.7,Wyoming does not require paid sick leave.[8],196.37,"$1,932,287","398,785","375,593","121,849","45,793",59920,10.53,"2,328",0.40%,1185,203.4,108.277778,54.5555556,38.1111111,77.83%,21.21%,0.84%,0.09%,0.03%,0.00%,2024 ACS 5-year,64627,11.30,38.78,18.31,11.74,5.16,89.44,7.08,N
